Date;Device;App;UsageTime;UsageCount
December 28, 2022;HUAWEI STK-LX19;SOVA V RE;0s;0
December 29, 2022;HUAWEI STK-LX20;SOVA V RE;0s;0
December 30, 2022;HUAWEI STK-LX21;SOVA V RE;0s;0
December 31, 2022;HUAWEI STK-LX22;SOVA V RE;0s;0
December 10, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 11, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 12, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 13, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 14, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 15, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 16, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 17, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 18, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 19, 2022;samsung SM-A536B;SOVA V RE;5m 39s;9
December 20, 2022;samsung SM-A536B;SOVA V RE;1m 43s;2
December 21, 2022;samsung SM-A536B;SOVA V RE;9m 45s;7
December 22, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 23, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 24, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 25, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 26, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 27, 2022;samsung SM-A536B;SOVA V RE;0s;0
December 28, 2022;samsung SM-A536B;SOVA V RE;2m 10s;3
December 29, 2022;samsung SM-A536B;SOVA V RE;23s;3
December 30, 2022;samsung SM-A536B;SOVA V RE;38s;3
December 31, 2022;samsung SM-A536B;SOVA V RE;6m 16s;16
December 10, 2022;samsung SM-A536B;Telegram;0s;0
December 11, 2022;samsung SM-A536B;Telegram;0s;0
December 12, 2022;samsung SM-A536B;Telegram;0s;0
December 13, 2022;samsung SM-A536B;Telegram;0s;0
December 14, 2022;samsung SM-A536B;Telegram;0s;0
December 15, 2022;samsung SM-A536B;Telegram;0s;0
December 16, 2022;samsung SM-A536B;Telegram;0s;0
December 17, 2022;samsung SM-A536B;Telegram;0s;0
December 18, 2022;samsung SM-A536B;Telegram;0s;0
December 19, 2022;samsung SM-A536B;Telegram;7m 4s;9
December 20, 2022;samsung SM-A536B;Telegram;15m 49s;18
December 21, 2022;samsung SM-A536B;Telegram;26m 11s;18
December 22, 2022;samsung SM-A536B;Telegram;5m 32s;12
December 23, 2022;samsung SM-A536B;Telegram;0s;0
December 24, 2022;samsung SM-A536B;Telegram;1m 37s;3
December 25, 2022;samsung SM-A536B;Telegram;20m 43s;10
December 26, 2022;samsung SM-A536B;Telegram;0s;0
December 27, 2022;samsung SM-A536B;Telegram;18m 52s;7
December 28, 2022;samsung SM-A536B;Telegram;27m 22s;12
December 29, 2022;samsung SM-A536B;Telegram;28m;9
December 30, 2022;samsung SM-A536B;Telegram;21m 57s;19
December 31, 2022;samsung SM-A536B;Telegram;1h 1m 4s;21
December 10, 2022;HUAWEI STK-LX1;Telegram;0s;0
December 11, 2022;HUAWEI STK-LX2;Telegram;12m 40s;9
December 12, 2022;HUAWEI STK-LX3;Telegram;19m 15s;24
December 13, 2022;HUAWEI STK-LX4;Telegram;14m 53s;9
December 14, 2022;HUAWEI STK-LX5;Telegram;21m 35s;28
December 15, 2022;HUAWEI STK-LX6;Telegram;18m 14s;31
December 16, 2022;HUAWEI STK-LX7;Telegram;12m 27s;8
December 17, 2022;HUAWEI STK-LX8;Telegram;21m 27s;17
December 18, 2022;HUAWEI STK-LX9;Telegram;24s;2
December 19, 2022;HUAWEI STK-LX10;Telegram;5m 36s;11
December 20, 2022;HUAWEI STK-LX11;Telegram;7m 51s;6
December 21, 2022;HUAWEI STK-LX12;Telegram;4m 38s;12
December 22, 2022;HUAWEI STK-LX13;Telegram;23s;1
December 23, 2022;HUAWEI STK-LX14;Telegram;0s;0
December 24, 2022;HUAWEI STK-LX15;Telegram;2m 28s;5
December 25, 2022;HUAWEI STK-LX16;Telegram;6m 20s;6
December 26, 2022;HUAWEI STK-LX17;Telegram;29m 59s;19
December 27, 2022;HUAWEI STK-LX18;Telegram;5m 41s;13
December 28, 2022;HUAWEI STK-LX19;Telegram;16m 29s;5
December 29, 2022;HUAWEI STK-LX20;Telegram;0s;0
December 30, 2022;HUAWEI STK-LX21;Telegram;0s;0
December 31, 2022;HUAWEI STK-LX22;Telegram;1m 7s;10
December 10, 2022;samsung SM-A536B;VK;0s;0
December 11, 2022;samsung SM-A536B;VK;0s;0
December 12, 2022;samsung SM-A536B;VK;0s;0
December 13, 2022;samsung SM-A536B;VK;0s;0
December 14, 2022;samsung SM-A536B;VK;0s;0
December 15, 2022;samsung SM-A536B;VK;0s;0
December 16, 2022;samsung SM-A536B;VK;0s;0
December 17, 2022;samsung SM-A536B;VK;0s;0
December 18, 2022;samsung SM-A536B;VK;0s;0
December 19, 2022;samsung SM-A536B;VK;5m 2s;3
December 20, 2022;samsung SM-A536B;VK;14m 41s;18
December 21, 2022;samsung SM-A536B;VK;21m 48s;14
December 22, 2022;samsung SM-A536B;VK;6m 41s;9
December 23, 2022;samsung SM-A536B;VK;0s;0
December 24, 2022;samsung SM-A536B;VK;0s;0
December 25, 2022;samsung SM-A536B;VK;35s;1
December 26, 2022;samsung SM-A536B;VK;0s;0
December 27, 2022;samsung SM-A536B;VK;2m 42s;1
December 28, 2022;samsung SM-A536B;VK;4s;1
December 29, 2022;samsung SM-A536B;VK;3m 10s;3
December 30, 2022;samsung SM-A536B;VK;3m 22s;8
December 31, 2022;samsung SM-A536B;VK;54s;5
December 10, 2022;HUAWEI STK-LX22;VK;0s;0
December 11, 2022;HUAWEI STK-LX23;VK;28m 37s;15
December 12, 2022;HUAWEI STK-LX24;VK;31m 51s;27
December 13, 2022;HUAWEI STK-LX25;VK;3m 52s;4
December 14, 2022;HUAWEI STK-LX26;VK;24m 59s;20
December 15, 2022;HUAWEI STK-LX27;VK;19m 56s;12
December 16, 2022;HUAWEI STK-LX28;VK;34m 5s;20
