"Move","Procent","Color","Type","Player","MoveColor"
"Missed Win",1.7,"W","rapid","Krzysiek","#dbac16"
"Brilliant",0.1,"B","rapid","Krzysiek","#1bada6"
"Best",34.3,"B","rapid","Krzysiek","#96bc4b"
"Excellent",19.8,"B","rapid","Krzysiek","#9bbf56"
"Good",10.7,"B","rapid","Krzysiek","#96af8b"
"Book",10.4,"B","rapid","Krzysiek","#a88865"
"Inaccuracy",8.7,"B","rapid","Krzysiek","#f7c045"
"Mistake",8.5,"B","rapid","Krzysiek","#e58f2a"
"Blunder",6.3,"B","rapid","Krzysiek","#ca3431"
"Missed Win",1.3,"B","rapid","Krzysiek","#dbac16"
"Brilliant",0.1,"WB","bullet","Krzysiek","#1bada6"
"Best",30.4,"WB","bullet","Krzysiek","#96bc4b"
"Excellent",20.2,"WB","bullet","Krzysiek","#9bbf56"
"Good",12.6,"WB","bullet","Krzysiek","#96af8b"
"Book",9.8,"WB","bullet","Krzysiek","#a88865"
"Inaccuracy",10.3,"WB","bullet","Krzysiek","#f7c045"
"Mistake",8.6,"WB","bullet","Krzysiek","#e58f2a"
"Blunder",6.6,"WB","bullet","Krzysiek","#ca3431"
"Missed Win",1.5,"WB","bullet","Krzysiek","#dbac16"
"Brilliant",0.1,"WB","blitz","Krzysiek","#1bada6"
"Best",33.1,"WB","blitz","Krzysiek","#96bc4b"
"Excellent",18.7,"WB","blitz","Krzysiek","#9bbf56"
"Good",12.3,"WB","blitz","Krzysiek","#96af8b"
"Book",9.4,"WB","blitz","Krzysiek","#a88865"
"Inaccuracy",10.5,"WB","blitz","Krzysiek","#f7c045"
"Mistake",8.2,"WB","blitz","Krzysiek","#e58f2a"
"Blunder",6.2,"WB","blitz","Krzysiek","#ca3431"
"Missed Win",1.4,"WB","blitz","Krzysiek","#dbac16"
"Brilliant",0.1,"WB","rapid","Krzysiek","#1bada6"
"Best",33.3,"WB","rapid","Krzysiek","#96bc4b"
"Excellent",18.6,"WB","rapid","Krzysiek","#9bbf56"
"Good",11,"WB","rapid","Krzysiek","#96af8b"
"Book",10.8,"WB","rapid","Krzysiek","#a88865"
"Inaccuracy",9.8,"WB","rapid","Krzysiek","#f7c045"
"Mistake",8.6,"WB","rapid","Krzysiek","#e58f2a"
"Blunder",6.3,"WB","rapid","Krzysiek","#ca3431"
"Missed Win",1.5,"WB","rapid","Krzysiek","#dbac16"
