name                            ,codex ,nationality,gender
ljoekelsoey roar                ,2033  ,NOR        ,M
naglic tomaz                    ,5026  ,SLO        ,M
mandl ziga                      ,5407  ,SLO        ,M
sardyko alexander               ,5764  ,RUS        ,M
frenette peter                  ,5336  ,USA        ,M
judez dejan                     ,5479  ,SLO        ,M
chaadaev petr                   ,6189  ,RUS        ,M
de crignis alessio              ,1950  ,ITA        ,M
nurmsalu kaarel                 ,6145  ,EST        ,M
lamb chris                      ,5019  ,USA        ,M
vetelainen jonne                ,7939  ,FIN        ,M
ojala juho                      ,6428  ,FIN        ,M
merilaeinen eetu                ,6907  ,FIN        ,M
heikkinen kalle                 ,7885  ,FIN        ,M
ahonen mico                     ,7171  ,FIN        ,M
karlen gabriel                  ,6119  ,SUI        ,M
haare anders                    ,7193  ,NOR        ,M
elverum sorsell kim rene        ,5068  ,NOR        ,M
balkaasen fredrik               ,5123  ,SWE        ,M
sokolenko konstantin            ,6492  ,KAZ        ,M
chervyakov georgiy              ,6033  ,RUS        ,M
yumoto fumihisa                 ,4379  ,JPN        ,M
kobayashi yuka                  ,5954  ,JPN        ,F
ringquist abby                  ,2682  ,USA        ,F
iwasa haruka                    ,6395  ,JPN        ,F
goerlich luisa                  ,6664  ,GER        ,F
clair julia                     ,5917  ,FRA        ,F
ernst gianina                   ,7116  ,GER        ,F
roee espen                      ,6584  ,NOR        ,M
bjerkeengen fredrik             ,5293  ,NOR        ,M
hauer joachim                   ,5974  ,NOR        ,M
kalinitschenko anton            ,2874  ,RUS        ,M
niemi sami                      ,5360  ,FIN        ,M
wiget samuel                    ,6010  ,SUI        ,M
sommer pascal                   ,5741  ,SUI        ,M
wit de ruben                    ,6004  ,NED        ,M
tudor remus                     ,5671  ,ROU        ,M
taehkaevuori riku               ,6224  ,FIN        ,M
polychronidis nico              ,7035  ,GRE        ,M
grimholm jakob                  ,4177  ,SWE        ,M
heim christian                  ,5929  ,GER        ,M
mitchell eric                   ,5805  ,CAN        ,M
mitz alexander                  ,5124  ,SWE        ,M
zupancic miran                  ,4972  ,SLO        ,M
aalst van der oldrik            ,5476  ,NED        ,M
egloff pascal                   ,5590  ,SUI        ,M
benedik matic                   ,5894  ,SLO        ,M
hayboeck stefan                 ,5037  ,AUT        ,M
grimsrud simen key              ,5416  ,NOR        ,M
berggaard mats soehagen         ,6097  ,NOR        ,M
halvorsen espen enger           ,5385  ,NOR        ,M
wenig daniel                    ,5273  ,GER        ,M
kramarsic matic                 ,2186  ,SLO        ,M
enger gyda                      ,5428  ,NOR        ,F
schoitsch sonja                 ,6569  ,AUT        ,F
ji cheng                        ,6602  ,CHN        ,F
espiau caroline                 ,5649  ,FRA        ,F
veshchikova anastasia           ,6265  ,RUS        ,F
dolezelova michaela             ,5483  ,CZE        ,F
roider cornelia                 ,5716  ,AUT        ,F
yamada yurina                   ,6196  ,JPN        ,F
hagemoen jenny synnove          ,6352  ,NOR        ,F
rautionaho jenny                ,6397  ,FIN        ,F
dejmkova natalie                ,6054  ,CZE        ,F
keil katharina                  ,6186  ,AUT        ,F
steen hansen synne              ,5742  ,NOR        ,F
mikova lucie                    ,5707  ,CZE        ,F
bayer ben                       ,8123  ,GER        ,M
mellingsaeter jo roemme         ,8196  ,NOR        ,M
mueller markus                  ,8210  ,AUT        ,M
paern illimar                   ,1951  ,EST        ,M
sammelselg siim-tanel           ,5235  ,EST        ,M
francais remi                   ,4692  ,SUI        ,M
shumbarets vitaliy              ,4922  ,UKR        ,M
klimowski bartlomiej            ,7332  ,POL        ,M
zygmuntowicz krystian           ,8286  ,POL        ,M
pekala wiktor                   ,8095  ,POL        ,M
pawlowski szymon                ,8103  ,POL        ,M
dobre bernard                   ,7758  ,SLO        ,M
srsen gasper                    ,8410  ,SLO        ,M
presterl domen                  ,8349  ,SLO        ,M
podobnik benjamin               ,7329  ,SLO        ,M
zelenchuk ivan                  ,7451  ,UKR        ,M
safonov gleb                    ,7126  ,KAZ        ,M
kellermann sebestian            ,7320  ,CZE        ,M
prislic ernest                  ,5829  ,SLO        ,M
jojko szymon                    ,7836  ,POL        ,M
rombach sebastian               ,6341  ,GER        ,M
schluetter anton                ,8413  ,GER        ,M
stosel kacper                   ,7590  ,POL        ,M
weigel cedrik                   ,6889  ,GER        ,M
dolezel dusan                   ,7172  ,CZE        ,M
winter paul                     ,6753  ,GER        ,M
moerth claudio                  ,7908  ,AUT        ,M
schubert johannes               ,6652  ,GER        ,M
shuvalov alexander              ,6510  ,RUS        ,M
klusek bartlomiej               ,5547  ,POL        ,M
justin rok                      ,5695  ,SLO        ,M
cikl martin                     ,4643  ,CZE        ,M
boyarintsev vladislav           ,6679  ,RUS        ,M
loutitt alexandria              ,9345  ,CAN        ,F
kvandal eirin maria             ,8197  ,NOR        ,F
mitu-cosca alessia              ,8624  ,ROU        ,F
makhinia irma                   ,7608  ,RUS        ,F
bjoerseth thea minyan           ,8446  ,NOR        ,F
folea delia anamaria            ,8141  ,ROU        ,F
tervahartiala julia             ,7858  ,FIN        ,F
jones paige                     ,7735  ,USA        ,F
yamada hiroki                   ,2919  ,JPN        ,M
takayanagi taro                 ,3037  ,JPN        ,M
funaki kazuyoshi                ,2021  ,JPN        ,M
de leeuw yukon                  ,5803  ,CAN        ,M
brown a j                       ,6728  ,USA        ,M
reid rogan                      ,6800  ,CAN        ,M
karta samet                     ,6175  ,TUR        ,M
hahn julian                     ,6651  ,GER        ,M
friberg christian               ,6616  ,USA        ,M
kus jan                         ,6954  ,SLO        ,M
maruyama jun                    ,6211  ,JPN        ,F
oi shihori                      ,6998  ,JPN        ,F
shigeno misaki                  ,4798  ,JPN        ,F
watanabe minami                 ,6637  ,JPN        ,F
watase ayumi                    ,4538  ,JPN        ,F
matsuhashi aki                  ,6024  ,JPN        ,F
takeda ayuka                    ,5236  ,JPN        ,F
unterberger david               ,1945  ,AUT        ,M
sidlova viktoria                ,7825  ,SVK        ,F
markuta katja                   ,7543  ,SLO        ,F
pekha dayana                    ,7578  ,KAZ        ,F
bressand marine                 ,7293  ,FRA        ,F
kraus henriette                 ,6794  ,GER        ,F
laue josephin                   ,7673  ,GER        ,F
seifert alexandra               ,7596  ,GER        ,F
lancho arantxa                  ,7219  ,GER        ,F
freitag selina                  ,7372  ,GER        ,F
urbanija coz kaja               ,7534  ,SLO        ,F
paillard oceane                 ,7292  ,FRA        ,F
reisch agnes                    ,7027  ,GER        ,F
sderzhikova valentina           ,7128  ,KAZ        ,F
utev artem                      ,6687  ,RUS        ,M
sykchin nikita                  ,7907  ,RUS        ,M
usachev egor                    ,6031  ,RUS        ,M
roch dupland thomas             ,6639  ,FRA        ,M
korhonen janne                  ,7095  ,FIN        ,M
dong bing                       ,6646  ,CHN        ,F
peng qingyue                    ,8524  ,CHN        ,F
wang liangyao                   ,8515  ,CHN        ,F
prevc nika                      ,8132  ,SLO        ,F
westman frida                   ,7505  ,SWE        ,F
shao birun                      ,8509  ,CHN        ,F
malsiner jessica                ,7523  ,ITA        ,F
kindlimann rea                  ,7751  ,SUI        ,F
ambrosi martina                 ,7745  ,ITA        ,F
zyryanov sergey                 ,7121  ,KAZ        ,M
kotik kiril                     ,7420  ,RUS        ,M
dieu romane                     ,7530  ,FRA        ,F
czekala alena                   ,8178  ,SUI        ,F
mair sophie                     ,6708  ,AUT        ,F
zambelli gabriele               ,6760  ,ITA        ,M
zhukova anna                    ,7469  ,RUS        ,F
nadymova stefaniya              ,7016  ,RUS        ,F
jahr line                       ,4893  ,NOR        ,F
loeytaeinen niko                ,7275  ,FIN        ,M
vaenskae elias                  ,6995  ,FIN        ,M
pappel taavi                    ,6920  ,EST        ,M
torok eduard                    ,6559  ,HUN        ,M
lanin ivan                      ,6856  ,RUS        ,M
sandell jonas-sloth             ,7722  ,NOR        ,M
tepes anja                      ,1916  ,SLO        ,F
thomae lara                     ,5473  ,NED        ,F
pograjc manja                   ,5005  ,SLO        ,F
kasai yoshiko                   ,4537  ,JPN        ,F
pustkova vladena                ,1914  ,CZE        ,F
vuik wendy                      ,5015  ,NED        ,F
johnson alissa                  ,4883  ,USA        ,F
demetz lisa                     ,1912  ,ITA        ,F
haefele anna                    ,1911  ,GER        ,F
jerome jessica                  ,4632  ,USA        ,F
graessler ulrike                ,4767  ,GER        ,F
faisst melanie                  ,1953  ,GER        ,F
sagen anette                    ,4890  ,NOR        ,F
van lindsey                     ,4637  ,USA        ,F
logar eva                       ,1913  ,SLO        ,F
korek dusty                     ,6307  ,CAN        ,M
read stefan                     ,4561  ,CAN        ,M
aren andreas                    ,4173  ,SWE        ,M
okabe takanobu                  ,2016  ,JPN        ,M
peterka primoz                  ,2045  ,SLO        ,M
gryczuk krystian                ,7015  ,POL        ,M
dunajski patryk                 ,5936  ,POL        ,M
swierczek piotr                 ,6736  ,POL        ,M
mojzesz piotr                   ,6529  ,POL        ,M
faferko wojciech                ,6735  ,POL        ,M
setnikar rok                    ,6507  ,SLO        ,M
roeder franz                    ,5869  ,GER        ,M
yakibyuk igor                   ,6719  ,UKR        ,M
weiss franz                     ,5876  ,GER        ,M
rogelj matic                    ,6739  ,SLO        ,M
herrmann michael                ,5901  ,GER        ,M
zieba jan                       ,5486  ,POL        ,M
babnik tim                      ,5278  ,SLO        ,M
seretinek nejc                  ,6436  ,SLO        ,M
fudel daniel                    ,5565  ,GER        ,M
haupt alexander                 ,6325  ,USA        ,M
lichy patrik                    ,5672  ,SVK        ,M
kukula artur                    ,5548  ,POL        ,M
dobovsek matej                  ,5046  ,SLO        ,M
brodauf felix                   ,3652  ,GER        ,M
pietraszko nikola               ,8279  ,POL        ,F
paeaekkoenen teemu              ,2936  ,FIN        ,M
korhonen ville                  ,7209  ,FIN        ,M
loukasmaeki wili                ,6906  ,FIN        ,M
heikkinen juuso                 ,6016  ,FIN        ,M
virrantalo juho                 ,7355  ,FIN        ,M
buzescu purice constantin robert,7034  ,ROU        ,M
tiirmaa karl-august             ,5648  ,EST        ,M
ilves kristjan                  ,6408  ,EST        ,M
persiyancev vladislav           ,6193  ,RUS        ,M
veselov denis                   ,6511  ,RUS        ,M
pyzhov sergey                   ,6812  ,RUS        ,M
moilanen lasse                  ,6015  ,FIN        ,M
lehtinen aapo                   ,6431  ,FIN        ,M
goebel michelle                 ,7852  ,GER        ,F
marcato asia                    ,219645,ITA        ,F
boehme lia                      ,8325  ,GER        ,F
kuebler pia lilian              ,7381  ,GER        ,F
zanitzer martina                ,8082  ,ITA        ,F
hassrick estella                ,219676,USA        ,F
olden macey                     ,8489  ,USA        ,F
haerter rachael                 ,8488  ,USA        ,F
johnson josie                   ,219758,USA        ,F
torazza emely                   ,8419  ,SUI        ,F
arnet sina                      ,8202  ,SUI        ,F
vuerich noelia                  ,8453  ,ITA        ,F
li qiurong                      ,8531  ,CHN        ,F
comazzi camilla henni           ,8331  ,ITA        ,F
zeng ping                       ,8526  ,CHN        ,F
muehlbacher julia               ,7860  ,AUT        ,F
varesco daniele                 ,5782  ,ITA        ,M
pavlov bogomil                  ,5661  ,BUL        ,M
mocanita alexandru              ,6806  ,ROU        ,M
baila ovidiu                    ,6171  ,ROU        ,M
feroiu alexandru                ,7201  ,ROU        ,M
medvedev alexandr               ,7120  ,KAZ        ,M
khamitov kanat                  ,6663  ,KAZ        ,M
nogin roman                     ,7124  ,KAZ        ,M
karatsupa stanislav             ,6942  ,KAZ        ,M
krassnegger jan - oswald        ,7222  ,AUT        ,M
kalykov shyngys                 ,5791  ,KAZ        ,M
kratov ilya                     ,7122  ,KAZ        ,M
reymeyer tamas                  ,6985  ,HUN        ,M
kelemen peter                   ,6983  ,HUN        ,M
kolmakov pavel                  ,6772  ,KAZ        ,M
mitev evelin                    ,7018  ,BUL        ,M
sultangulov artur               ,6960  ,RUS        ,M
blega stefan valentin           ,6562  ,ROU        ,M
schmid martin                   ,6528  ,AUT        ,M
tatu robert valentin            ,6561  ,ROU        ,M
siegel jonathan                 ,6752  ,GER        ,M
valta ossi-pekka                ,6000  ,FIN        ,M
kamienski oliver                ,6133  ,GER        ,M
maier dominik                   ,5573  ,GER        ,M
dufter thomas                   ,6636  ,GER        ,M
scherrer marvin                 ,6246  ,SUI        ,M
rueegg manuel                   ,6590  ,SUI        ,M
rus jaka                        ,2699  ,SLO        ,M
plestenjak luka                 ,5282  ,SLO        ,M
ylitapio santeri                ,7079  ,FIN        ,M
heinrich tim                    ,6062  ,GER        ,M
rokita roland                   ,6578  ,AUT        ,M
edlund trevor                   ,6731  ,USA        ,M
raffort benjamin                ,5500  ,FRA        ,M
wert trevor                     ,5020  ,USA        ,M
gardet sacha                    ,6445  ,FRA        ,M
obermayr johannes               ,5532  ,AUT        ,M
swensen vegard                  ,4957  ,NOR        ,M
smith hunter                    ,7713  ,USA        ,M
dowling benjamin                ,7786  ,USA        ,M
tschida luke                    ,7769  ,USA        ,M
stensgard kristian              ,6534  ,NOR        ,M
markkanen joni                  ,7277  ,FIN        ,M
ruikka pyry                     ,7276  ,FIN        ,M
mattoon nathan                  ,7552  ,USA        ,M
zagar rozle                     ,5132  ,SLO        ,M
andrews grant                   ,7750  ,USA        ,M
schrock somer                   ,6727  ,USA        ,M
lock robert                     ,7458  ,GBR        ,M
lock jake                       ,7457  ,GBR        ,M
strand knut jokerud             ,6899  ,NOR        ,M
logar lara                      ,7878  ,SLO        ,F
repinc zupancic jerneja         ,7740  ,SLO        ,F
przybyla wiktoria               ,8619  ,POL        ,F
vetrih nika                     ,8357  ,SLO        ,F
schuller sahra                  ,8204  ,AUT        ,F
beltowska marcelina             ,8277  ,POL        ,F
slowik natalia                  ,219753,POL        ,F
jencova veronika                ,7861  ,CZE        ,F
ellmauer katharina              ,6709  ,AUT        ,F
tukhtaeva alina                 ,7577  ,KAZ        ,F
mikase ren                      ,7567  ,JPN        ,F
kamoda ayuka                    ,7500  ,JPN        ,F
igarashi ayaka                  ,7309  ,JPN        ,F
lechner sepp                    ,6364  ,GER        ,M
schultheiss richard             ,6737  ,GER        ,M
kaiser maximilian               ,5895  ,GER        ,M
devall sebastian                ,7140  ,SWE        ,M
flemstroem marcus               ,7139  ,SWE        ,M
kytoesaho eetu                  ,7322  ,FIN        ,M
lesnik kristjan                 ,7174  ,SLO        ,M
ortner thomas                   ,6123  ,AUT        ,M
troy matthias                   ,6433  ,AUT        ,M
adilov akram                    ,6939  ,KAZ        ,M
ketis andrej                    ,7352  ,SLO        ,M
mendel mario                    ,6640  ,AUT        ,M
koch bjoern                     ,6167  ,AUT        ,M
gut pawel                       ,6993  ,POL        ,M
hammann petrick                 ,7085  ,GER        ,M
greber felix                    ,7261  ,AUT        ,M
maylaender jan                  ,5263  ,GER        ,M
hebel sebastian                 ,6746  ,POL        ,M
jarzabek dawid                  ,6491  ,POL        ,M
ito masamitsu                   ,6781  ,JPN        ,M
oedegaard jesper                ,6732  ,NOR        ,M
lacroix olan                    ,7107  ,SUI        ,M
yamakawa taro                   ,7304  ,JPN        ,M
marchukov aleksandr             ,7693  ,RUS        ,M
shulaev sergey                  ,6494  ,RUS        ,M
berger lars brodshaug           ,7255  ,NOR        ,M
siven onni kasperi              ,8144  ,FIN        ,M
lee juchan                      ,7166  ,KOR        ,M
boiko mikhail                   ,7584  ,KAZ        ,M
lundgren olof                   ,6804  ,SWE        ,M
cho sungwoo                     ,7167  ,KOR        ,M
yim soohyeon                    ,7206  ,KOR        ,M
allamuratov erkin               ,7273  ,RUS        ,M
hwang seokjae                   ,7723  ,KOR        ,M
forsstroem petteri              ,7920  ,FIN        ,M
si jeongheon                    ,6729  ,KOR        ,M
ingebrigtsen christian          ,7886  ,NOR        ,M
madsen joergen                  ,6609  ,NOR        ,M
nedrejord ole mathis            ,7253  ,NOR        ,M
breivik andreas varsi           ,7922  ,NOR        ,M
jacobsen espen                  ,7486  ,NOR        ,M
lippestad carl henning          ,6981  ,NOR        ,M
hafslund oscar alexander        ,7254  ,NOR        ,M
mietus grzegorz                 ,5301  ,POL        ,M
krupa dawid                     ,7445  ,POL        ,M
urbas tymoteusz                 ,6990  ,POL        ,M
dodyuk vitalii                  ,5768  ,UKR        ,M
tadic saso                      ,5311  ,SLO        ,M
capuder martin                  ,6953  ,SLO        ,M
balanda ruslan                  ,6060  ,UKR        ,M
horst florian                   ,3989  ,GER        ,M
pasichnyk viktor                ,5774  ,UKR        ,M
kushnirchuk mykola              ,7228  ,UKR        ,M
tesovnik jaka                   ,5630  ,SLO        ,M
gasienica andrzej               ,5541  ,POL        ,M
michalek jan                    ,7075  ,CZE        ,M
wang rui                        ,8511  ,CHN        ,M
ortner maximilian               ,7763  ,AUT        ,M
grabner linda                   ,7392  ,AUT        ,F
seretinek anita                 ,6793  ,SLO        ,F
hamming eleora                  ,7572  ,CAN        ,F
javorsek anja                   ,5828  ,SLO        ,F
stefanuta bianca elena          ,7240  ,ROU        ,F
moser timna                     ,7216  ,AUT        ,F
goerlich sophia                 ,6665  ,GER        ,F
narita kaede                    ,6780  ,JPN        ,F
marcocig giacomo                ,5781  ,ITA        ,M
funtarov deyan                  ,6139  ,BUL        ,M
susnik urban                    ,5629  ,SLO        ,M
migachev maksim                 ,6743  ,RUS        ,M
hutchins tyler                  ,6802  ,USA        ,M
buyvolov alexey                 ,2565  ,RUS        ,M
martincic gasper                ,6425  ,SLO        ,M
bailey hyrum                    ,6670  ,USA        ,M
kosec jaka                      ,5892  ,SLO        ,M
leontyev grigoriy               ,6041  ,RUS        ,M
sporynin dmitry                 ,5420  ,RUS        ,M
gugg florian                    ,6125  ,AUT        ,M
kozma szilveszter               ,5670  ,ROU        ,M
vodan gasper                    ,5682  ,SLO        ,M
blaha hubert                    ,5713  ,CZE        ,M
hollaus francesco               ,6347  ,AUT        ,M
anken olivier                   ,5921  ,SUI        ,M
yuksel faik                     ,6114  ,TUR        ,M
loehmann johannes               ,6277  ,GER        ,M
bartol gasper                   ,5612  ,SLO        ,M
aberger marco                   ,5943  ,AUT        ,M
hacek vit                       ,5210  ,CZE        ,M
tanner robin                    ,5859  ,GER        ,M
waldis fabian                   ,6091  ,SUI        ,M
schuler adrian                  ,5234  ,SUI        ,M
pfannenstill elias              ,5448  ,AUT        ,M
kokkonen akseli                 ,6311  ,NOR        ,M
srsen julija                    ,6298  ,SLO        ,F
segawa fumika                   ,7308  ,JPN        ,F
kranzl michaela                 ,6556  ,AUT        ,F
wiegele lisa                    ,6317  ,AUT        ,F
skele sarlote                   ,7217  ,LAT        ,F
grushina daria                  ,6862  ,RUS        ,F
palasz katarzyna                ,7442  ,POL        ,F
yamaguchi mizuki                ,5756  ,JPN        ,F
anderson emilee                 ,6814  ,USA        ,F
sorschag sophie                 ,7739  ,AUT        ,F
armstrong gabriella             ,7747  ,USA        ,F
revilliod blanchard noelig      ,6543  ,FRA        ,M
senoner joy                     ,6759  ,ITA        ,M
heiskanen sami                  ,5397  ,FIN        ,M
nezhborts kristaps              ,6925  ,LAT        ,M
mankov ilya                     ,8495  ,RUS        ,M
ritzer josef                    ,7532  ,AUT        ,M
wackernell julian               ,6702  ,AUT        ,M
stanfel naim                    ,7288  ,AUT        ,M
mittendorfer florian            ,7497  ,AUT        ,M
jovan tomi                      ,7937  ,SLO        ,M
baarset ole kristian            ,8024  ,NOR        ,M
haave henrik                    ,8246  ,NOR        ,M
robnik luka                     ,7681  ,SLO        ,M
brezovnik medard                ,7759  ,SLO        ,M
rep marcel                      ,7875  ,SLO        ,M
vodusek lovro                   ,7904  ,SLO        ,M
haukedal richard                ,6625  ,NOR        ,M
faller jonas                    ,5884  ,GER        ,M
suzuki sho                      ,5522  ,JPN        ,M
brandt johan martin             ,5988  ,NOR        ,M
mokhova elizaveta               ,8371  ,RUS        ,F
lamy chappuis jason             ,2778  ,FRA        ,M
morel yoann                     ,4596  ,FRA        ,M
simon erik                      ,4782  ,GER        ,M
mabuchi minato                  ,6273  ,JPN        ,M
nagai takehiro                  ,6368  ,JPN        ,M
yamada yuya                     ,5524  ,JPN        ,M
sumstad are                     ,7118  ,NOR        ,M
windmueller bigna               ,5386  ,SUI        ,F
koasa seiko                     ,4539  ,JPN        ,F
watanabe hiroaki                ,5523  ,JPN        ,M
naito tomofumi                  ,5242  ,JPN        ,M
loeken josefine                 ,219950,NOR        ,F
liane marie                     ,219843,NOR        ,F
kleven ingrid hordvik           ,8386  ,NOR        ,F
tajner sara                     ,8328  ,POL        ,F
midtsundstad nora               ,8441  ,NOR        ,F
beltowska pola                  ,8278  ,POL        ,F
subbotina anastasiia            ,219600,RUS        ,F
traaserud heidi dyhre           ,8153  ,NOR        ,F
mattila sofia                   ,219796,FIN        ,F
moharitsch vanessa              ,7748  ,AUT        ,F
skatvedt karoline               ,7511  ,NOR        ,F
berger frida                    ,8154  ,NOR        ,F
kothbauer sophie                ,7635  ,AUT        ,F
wiegele hannah                  ,8185  ,AUT        ,F
ihle alina                      ,7383  ,GER        ,F
thannheimer amelie              ,7668  ,GER        ,F
amble eva elise johansen        ,7889  ,NOR        ,F
highfill jillian                ,8150  ,USA        ,F
bakke tonje                     ,7089  ,NOR        ,F
mitchell charlotte              ,5801  ,CAN        ,F
senoner simona                  ,5389  ,ITA        ,F
stuffer barbara                 ,1919  ,ITA        ,F
zotova maria                    ,5763  ,RUS        ,F
sprakehaug silje                ,5401  ,NOR        ,F
mohr jenna                      ,1908  ,GER        ,F
kveder miha                     ,6292  ,SLO        ,M
skinnes marte pauline           ,6842  ,NOR        ,F
tuomisto sanni                  ,6604  ,FIN        ,F
ilola anselmi                   ,6014  ,FIN        ,M
ipunen marko                    ,7069  ,FIN        ,M
loit rauno                      ,6426  ,EST        ,M
migachev maxim                  ,6498  ,RUS        ,M
reshetnikov konstantin          ,7032  ,RUS        ,M
pinzani greta                   ,8066  ,ITA        ,F
cerna anna                      ,7872  ,CZE        ,F
sadvarova karolina              ,7604  ,CZE        ,F
zhai yujia                      ,219632,CHN        ,F
ren jiaojiao                    ,219633,CHN        ,F
drax ronja                      ,8119  ,GER        ,F
tomaselli giada                 ,7408  ,ITA        ,F
pretorius alexandra             ,6660  ,CAN        ,F
hirayama yurika                 ,5204  ,JPN        ,F
heberle nik                     ,8085  ,SLO        ,M
vitez patrik                    ,7447  ,SLO        ,M
prosenc matija                  ,7370  ,SLO        ,M
bedenik tadej                   ,8338  ,SLO        ,M
jeglic timotej                  ,8404  ,SLO        ,M
zavrsnik gorazd                 ,8209  ,SLO        ,M
landerer hannes                 ,7180  ,AUT        ,M
herbstritt teodor igor          ,8083  ,SLO        ,M
kloc bryce                      ,8618  ,USA        ,M
bartolj maksim                  ,8412  ,SLO        ,M
amilkiewicz tymoteusz           ,8056  ,POL        ,M
zhao chuan                      ,8503  ,CHN        ,M
fuchs eric                      ,7670  ,GER        ,M
wrobel marcin                   ,7831  ,POL        ,M
schwei dominik                  ,7361  ,AUT        ,M
schaffer lucas                  ,6589  ,AUT        ,M
ruukel kenno                    ,7698  ,EST        ,M
longo alessio                   ,6690  ,ITA        ,M
falkensteiner michael           ,6974  ,AUT        ,M
ardelean paul gabriel           ,7340  ,ROU        ,M
klinga sebastian                ,6398  ,FIN        ,M
bolton sam                      ,7752  ,GBR        ,M
anderegg mario                  ,7227  ,SUI        ,M
echsler moritz                  ,6740  ,GER        ,M
dohnal jakub                    ,6725  ,CZE        ,M
schmalnauer maximilian          ,6884  ,AUT        ,M
hayboeck alexander              ,5495  ,AUT        ,M
khashirov assymzhan             ,5784  ,KAZ        ,M
rakparov chingiz                ,6938  ,KAZ        ,M
mah nathaniel                   ,5808  ,CAN        ,M
ganserer marc                   ,5505  ,GER        ,M
savill wesley                   ,4683  ,CAN        ,M
valitov ildar                   ,6622  ,RUS        ,M
joitova martina                 ,6787  ,CZE        ,F
haeckert melanie                ,5553  ,GER        ,F
hoeppner lucienne               ,5554  ,GER        ,F
kovaljeff kai                   ,5710  ,FIN        ,M
yliriesto kimmo                 ,2915  ,FIN        ,M
przybyla jakub                  ,5491  ,POL        ,M
polushin vladimir               ,6816  ,KAZ        ,M
engen klaus ovlien              ,6215  ,NOR        ,M
piskunova kseniia               ,8543  ,RUS        ,F
hansen gyda westvold            ,8383  ,NOR        ,F
sieff arianna                   ,7766  ,ITA        ,F
fredheim kenneth henningsmo     ,7487  ,NOR        ,M
midtsundstad hanna              ,7478  ,NOR        ,F
sawaya natsuka                  ,2196  ,JPN        ,F
seto rio                        ,7568  ,JPN        ,F
wasser yanick                   ,7658  ,SUI        ,M
viken jonas                     ,8034  ,NOR        ,M
olaussen iver                   ,219619,NOR        ,M
kuisma tomas                    ,7859  ,FIN        ,M
watanabe rikuta                 ,6149  ,JPN        ,M
royer arthur                    ,6136  ,FRA        ,M
hammer tord markussen           ,5294  ,NOR        ,M
widhoelzl noah                  ,7181  ,AUT        ,M
schuster jonas                  ,7401  ,AUT        ,M
zimmermann raffael              ,7617  ,AUT        ,M
kulmitzer dominik               ,8137  ,AUT        ,M
vinogradovs markuss             ,7339  ,LAT        ,M
stevanovic nikola               ,8376  ,SRB        ,M
zupanec david                   ,8355  ,SLO        ,M
tepes jon                       ,8477  ,SLO        ,M
kogler elias                    ,8079  ,AUT        ,M
vodusek karlo                   ,8008  ,SLO        ,M
bachlinger niklas               ,8136  ,AUT        ,M
li guozheng                     ,7844  ,CHN        ,M
tremblay stephane               ,7771  ,CAN        ,M
medwed elias                    ,8018  ,AUT        ,M
zobel veronika                  ,6403  ,GER        ,F
weigel lennart                  ,7232  ,GER        ,M
hahne benedikt                  ,7347  ,GER        ,M
ketterer julian                 ,8359  ,GER        ,M
braaten jostein saglien         ,8444  ,NOR        ,M
sluka mikulas                   ,7799  ,CZE        ,M
ludwig sebastian                ,7135  ,GER        ,M
bratlien jonas                  ,7194  ,NOR        ,M
modricker quirin                ,7592  ,GER        ,M
gerisch tom                     ,7610  ,GER        ,M
fystro eirik leander            ,8225  ,NOR        ,M
sarkisiani artur                ,6871  ,GEO        ,M
kostner nadine                  ,5516  ,ITA        ,F
pock verena                     ,5006  ,AUT        ,F
torok denisa                    ,6564  ,ROU        ,F
zhang qiuyue                    ,6601  ,CHN        ,F
cui linlin                      ,6231  ,CHN        ,F
kleven thea sofie               ,7512  ,NOR        ,F
eriksson anton                  ,7141  ,SWE        ,M
molnar kristof                  ,6984  ,HUN        ,M
hristov viktor                  ,6659  ,BUL        ,M
grigore adrian                  ,6628  ,ROU        ,M
mazurchuk dmytro                ,7435  ,UKR        ,M
szilagyi akos                   ,6075  ,HUN        ,M
kesseli juri                    ,8309  ,SUI        ,M
selbekk-hansen richard          ,8375  ,NOR        ,M
fries philipp                   ,219609,GER        ,M
steinbeisser simon              ,7626  ,GER        ,M
sieber marius                   ,8072  ,SUI        ,M
myhre iver                      ,219615,NOR        ,M
aigner xaver                    ,8065  ,AUT        ,M
stroem joergen oliver           ,8026  ,NOR        ,M
aardal johannes                 ,9348  ,NOR        ,M
imhof remo                      ,7657  ,SUI        ,M
meloe sara                      ,7223  ,NOR        ,F
smeby helena olsson             ,6173  ,NOR        ,F
klinec barbara                  ,5853  ,SLO        ,F
brocard lena                    ,7927  ,FRA        ,F
higashi akira                   ,2119  ,JPN        ,M
romang kevin                    ,7104  ,SUI        ,M
von gruenigen luca              ,6730  ,SUI        ,M
lussi miles                     ,6672  ,USA        ,M
ernst benjamin                  ,6116  ,SUI        ,M
faivre rampant julien           ,6440  ,FRA        ,M
vallet edgar                    ,7186  ,FRA        ,M
pointu jeremy                   ,6333  ,FRA        ,M
generalov ilja                  ,7421  ,RUS        ,M
claret tournier luc             ,6438  ,FRA        ,M
rabaut guillaume                ,7092  ,FRA        ,M
hug tim                         ,2563  ,SUI        ,M
saether rishi                   ,7080  ,NOR        ,M
larsson benjamin                ,6349  ,SWE        ,M
degtyarev youry                 ,6680  ,RUS        ,M
