"","artistName","category","trackName","energy","startTime","energy_level","genre","duration"
"91","Champas","free time","Raw Matters - Original Mix",0.989,2022-12-19 21:31:31,"fast","dark techno",239
"92","Champas","free time","Raw Matters - Original Mix",0.989,2022-12-28 20:25:31,"fast","dark techno",242
"93","Champas","free time","Raw Matters - Original Mix",0.989,2022-12-29 23:19:31,"fast","dark techno",140
"94","Champas","other","Raw Matters - Original Mix",0.989,2022-12-18 22:39:31,"fast","dark techno",3
"95","Champas","other","Raw Matters - Original Mix",0.989,2022-12-19 21:31:31,"fast","dark techno",15
"96","Champas","other","Raw Matters - Original Mix",0.989,2022-12-28 20:25:31,"fast","dark techno",1
"97","Champas","studies","Raw Matters - Original Mix",0.989,2022-12-18 22:39:31,"fast","dark techno",268
"98","Champas","studies","Raw Matters - Original Mix",0.989,2022-12-19 21:31:31,"fast","dark techno",14
"99","Champas","studies","Raw Matters - Original Mix",0.989,2022-12-28 20:25:31,"fast","dark techno",11
"100","Champas","studies","Raw Matters - Original Mix",0.989,2022-12-29 23:19:31,"fast","dark techno",105
"101","Charlie Sparks (UK)","free time","Hooligans",1,2022-12-18 19:55:46,"fast","techno rave",307
"102","Charlie Sparks (UK)","free time","Hooligans",1,2022-12-18 21:38:46,"fast","techno rave",68
"103","Charlie Sparks (UK)","free time","Hooligans",1,2022-12-22 12:55:46,"fast","techno rave",80
"104","Charlie Sparks (UK)","free time","Kaizoku",0.96,2022-12-22 13:55:52,"fast","techno rave",176
"105","Charlie Sparks (UK)","free time","Land of Fire - Original",1,2022-12-27 14:53:47,"fast","techno rave",20
"106","Charlie Sparks (UK)","free time","Tatakai",0.966,2022-12-21 20:32:50,"fast","techno rave",1
"107","Charlie Sparks (UK)","free time","Tatakai",0.966,2022-12-23 21:20:50,"fast","techno rave",161
"108","Charlie Sparks (UK)","other","Hooligans",1,2022-12-18 21:38:46,"fast","techno rave",39
"109","Charlie Sparks (UK)","other","Hooligans",1,2022-12-22 12:55:46,"fast","techno rave",1
"110","Charlie Sparks (UK)","other","Kaizoku",0.96,2022-12-22 13:55:52,"fast","techno rave",2
"111","Charlie Sparks (UK)","other","Land of Fire - Original",1,2022-12-27 14:53:47,"fast","techno rave",317
