"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"59",2022-12-02 16:30:00,"Vince Guaraldi Trio","O Tannenbaum",309.386,2022-12-02 16:24:50,2022-12-02,0.583,0.191,5,-15.938,1,0.0404,0.908,0.00824,0.126,0.342,123.303,"adult standards","slow"
"60",2022-12-02 18:12:00,"Bing Crosby","The Little Drummer Boy - Remastered 2006",21.931,2022-12-02 18:11:38,2022-12-02,0.636,0.165,10,-14.261,1,0.0328,0.885,4.82e-05,0.0502,0.505,112.777,"adult standards","slow"
"61",2022-12-02 18:25:00,"753","God Is Dead - O.B.I. 2001 Edit",2.09,2022-12-02 18:24:57,2022-12-02,0.48,0.988,9,-4.272,1,0.084,2.74e-05,0.863,0.175,0.28,150.007,"hard techno","fast"
"62",2022-12-02 18:25:00,"Bing Crosby","The Little Drummer Boy - Remastered 2006",4.9,2022-12-02 18:24:55,2022-12-02,0.636,0.165,10,-14.261,1,0.0328,0.885,4.82e-05,0.0502,0.505,112.777,"adult standards","slow"
"67",2022-12-02 22:00:00,"TNT","Teknogym 2k19",194.258,2022-12-02 21:56:45,2022-12-02,0.341,0.998,8,-3.111,1,0.44,0.002,0.0267,0.425,0.101,150.073,"euphoric hardstyle","fast"
"69",2022-12-02 22:13:00,"Tommy Holohan","Inter Dimensional Hardcore Business",400.385,2022-12-02 22:06:19,2022-12-02,0.28,0.99,1,-8.849,0,0.078,0.00772,0.831,0.42,0.173,140.979,"hard techno","fast"
"70",2022-12-02 22:19:00,"Nico Moreno","Because I'm Drunk Babe",354.335,2022-12-02 22:13:05,2022-12-02,0.594,0.937,11,-10.817,0,0.0744,0.000378,0.611,0.354,0.0664,145.999,"techno rave","fast"
"71",2022-12-02 22:25:00,"Mark Dekoda","Rave Harder Techno Bass",360,2022-12-02 22:19:00,2022-12-02,0.784,0.888,4,-6.617,0,0.165,0.0158,0.892,0.169,0.13,135.995,"dark techno","fast"
"72",2022-12-02 22:31:00,"B2","Reality",340.24,2022-12-02 22:25:19,2022-12-02,0.532,0.863,8,-11.381,1,0.0628,0.000184,0.912,0.114,0.328,144.015,"techno rave","fast"
"76",2022-12-02 22:54:00,"VINYA","Brand",298.448,2022-12-02 22:49:01,2022-12-02,0.551,0.992,1,-8.502,1,0.0751,0.0706,0.842,0.111,0.276,144.999,"techno rave","fast"
"78",2022-12-02 23:05:00,"753","Dare - Brecc Remix",366.334,2022-12-02 22:58:53,2022-12-02,0.57,0.912,0,-8.273,0,0.0631,3.9e-05,0.864,0.368,0.0383,143.995,"hard techno","fast"
"80",2022-12-03 00:29:00,"OTTA","MINT",396.811,2022-12-03 00:22:23,2022-12-02,0.707,0.98,0,-9.971,1,0.0594,0.000663,0.859,0.188,0.363,150.024,"portuguese techno","fast"
"81",2022-12-03 00:30:00,"Vortek's","Shinlam",67.002,2022-12-03 00:28:52,2022-12-02,0.503,0.995,0,-4.201,1,0.0872,0.000676,0.717,0.267,0.14,155.009,"acidcore","fast"
"82",2022-12-03 10:22:00,"Vortek's","Shinlam",199.805,2022-12-03 10:18:40,2022-12-03,0.503,0.995,0,-4.201,1,0.0872,0.000676,0.717,0.267,0.14,155.009,"acidcore","fast"
"84",2022-12-03 10:34:00,"YA","Come On Venoms - Original Mix",371.87,2022-12-03 10:27:48,2022-12-03,0.559,0.969,10,-7.261,0,0.113,0.0139,0.879,0.112,0.179,154.992,"techno rave","fast"
"85",2022-12-03 10:40:00,"Dahryl","Recovery",366.374,2022-12-03 10:33:53,2022-12-03,0.528,0.882,1,-5.893,1,0.0476,1.78e-05,0.881,0.126,0.56,142.997,"hard techno","fast"
"89",2022-12-03 11:55:00,"Alignment","Focus And Concentration",337.657,2022-12-03 11:49:22,2022-12-03,0.585,0.925,1,-6.375,0,0.0527,9.58e-05,0.848,0.0634,0.0729,145.004,"acid techno","fast"
"91",2022-12-03 12:05:00,"B2","Heavy Machine",322.573,2022-12-03 11:59:37,2022-12-03,0.576,0.999,6,-7.841,0,0.0656,5.53e-05,0.825,0.16,0.0364,151.999,"techno rave","fast"
"93",2022-12-03 12:19:00,"Ayako Mori","So Cute!! - Schiere Remix",416.008,2022-12-03 12:12:03,2022-12-03,0.547,0.998,6,-3.218,0,0.0687,0.000427,0.339,0.108,0.426,149.999,"dark techno","fast"
"94",2022-12-03 12:25:00,"ORGIE","Die Another Day",392.112,2022-12-03 12:18:27,2022-12-03,0.574,0.994,3,-6.22,0,0.0503,0.000237,0.929,0.647,0.0301,141.992,"hard techno","fast"
"95",2022-12-03 12:35:00,"I Hate Models","Werewolf Disco Club",563.84,2022-12-03 12:25:36,2022-12-03,0.622,0.923,9,-5.224,1,0.0385,0.00218,0.821,0.12,0.214,146.004,"dark techno","fast"
