"","endTime","artistName","trackName","duration","startTime","date","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","genre","energy_level"
"57",2022-12-01 13:54:00,"sanah","Nic dwa razy (W. Szymborska)",0.928,2022-12-01 13:53:59,2022-12-01,0.419,0.292,8,-10.349,1,0.0684,0.655,0,0.106,0.27,197.158,"polish pop","slow"
"58",2022-12-01 13:54:00,"Lucky Chops","Buyo",2.974,2022-12-01 13:53:57,2022-12-01,0.578,0.53,5,-7.374,0,0.0542,0.0282,0.243,0.0883,0.757,176.005,"brass band","medium"
"59",2022-12-01 13:54:00,"Artur Rojek","Syreny",1.024,2022-12-01 13:53:58,2022-12-01,0.555,0.693,11,-8.067,1,0.0246,0.0319,0.0363,0.0878,0.309,90.012,"polish alternative","fast"
"60",2022-12-01 13:55:00,"Dawid Podsiadło","Pastempomat",1.151,2022-12-01 13:54:58,2022-12-01,0.597,0.672,5,-8.012,1,0.0315,0.0398,1.3e-05,0.168,0.552,119.995,"polish pop","fast"
"61",2022-12-01 13:55:00,"Dwa Sławy","Wstępnie Nie",0.821,2022-12-01 13:54:59,2022-12-01,0.698,0.754,7,-5.892,1,0.341,0.43,0,0.18,0.769,75.078,"polish hip hop","fast"
"62",2022-12-01 13:55:00,"Dawid Podsiadło","Szarość i Róż",1.28,2022-12-01 13:54:58,2022-12-01,0.553,0.658,7,-6.116,0,0.032,0.0468,0.000112,0.0836,0.577,172.028,"polish pop","medium"
"63",2022-12-01 13:55:00,"sanah","Eldorado",2.207,2022-12-01 13:54:57,2022-12-01,0.536,0.744,6,-7.845,0,0.0292,0.0377,0.0651,0.106,0.307,137.947,"polish pop","fast"
"64",2022-12-01 13:55:00,"Taco Hemingway","SANATORIUM",0.96,2022-12-01 13:54:59,2022-12-01,0.832,0.667,0,-7.167,1,0.0592,0.143,4.71e-05,0.269,0.494,140.045,"polish hip hop","fast"
"65",2022-12-01 13:59:00,"The Cassino","Coming Down",237,2022-12-01 13:55:03,2022-12-01,0.741,0.462,8,-11.213,1,0.0311,0.00171,1.66e-05,0.101,0.583,123.997,"polish indie","medium"
"66",2022-12-01 14:03:00,"Imagine Dragons","Shots",1.162,2022-12-01 14:02:58,2022-12-01,0.73,0.782,11,-7.109,0,0.0336,0.411,0.11,0.108,0.606,120.018,"modern rock","fast"
"67",2022-12-01 14:03:00,"Myslovitz","Dlugość dźwięku samotności",251.053,2022-12-01 13:58:48,2022-12-01,0.552,0.689,5,-6.475,1,0.0266,0.352,8.51e-05,0.0865,0.652,98.097,"polish alternative","fast"
"68",2022-12-01 14:03:00,"Taco Hemingway","Następna stacja",35.714,2022-12-01 14:02:24,2022-12-01,0.665,0.617,11,-7.068,0,0.233,0.422,0,0.0701,0.868,90.992,"polish hip hop","medium"
"69",2022-12-01 14:04:00,"Red Hot Chili Peppers","Pink as Floyd",9.471,2022-12-01 14:03:50,2022-12-01,0.407,0.493,0,-7.324,0,0.0299,0.0287,0,0.137,0.168,78.929,"alternative rock","medium"
"70",2022-12-01 14:04:00,"Led Zeppelin","Stairway to Heaven - Remaster",1.088,2022-12-01 14:03:58,2022-12-01,0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,"album rock","medium"
"71",2022-12-01 14:07:00,"The Strokes","Welcome To Japan",230.826,2022-12-01 14:03:09,2022-12-01,0.705,0.666,2,-7.23,0,0.0303,0.00233,0.0149,0.174,0.646,124.032,"alternative rock","medium"
"72",2022-12-01 14:12:00,"Dawid Podsiadło","Bela",256.352,2022-12-01 14:07:43,2022-12-01,0.704,0.648,0,-6.615,1,0.0259,0.0343,2.19e-06,0.1,0.65,104.015,"polish pop","medium"
