endTime,artistName,trackName,msPlayed
2022-01-06 14:11,Enter Shikari,Torn Apart,6036
2022-01-06 15:18,Enter Shikari,Torn Apart,228493
2022-01-06 15:22,Korn,Black Is the Soul,241146
2022-01-06 15:34,Nothing But Thieves,Amsterdam,6260
2022-01-07 08:37,Glass Animals,Life Itself,281406
2022-01-07 08:41,Glass Animals,Youth,230693
2022-01-07 08:45,Glass Animals,Season 2 Episode 3,243509
2022-01-07 08:49,Glass Animals,Pork Soda,253831
2022-01-07 08:53,Glass Animals,Mama's Gun,266747
2022-01-07 08:57,Glass Animals,Cane Shuga,196570
2022-01-07 08:57,Glass Animals,[Premade Sandwiches],36254
2022-01-07 09:03,Glass Animals,The Other Side Of Paradise,320654
2022-01-07 09:07,Glass Animals,Take A Slice,229717
2022-01-07 09:11,Glass Animals,Poplar St,262539
2022-01-07 09:15,Glass Animals,Agnes,271672
2022-01-07 09:31,Glass Animals,The Other Side Of Paradise,320654
2022-01-07 09:34,Joywave,It's A Trip!,183524
2022-01-07 09:37,NoMBe,Summer's Gone,213698
2022-01-07 09:41,The Jungle Giants,Feel the Way I Do,205146
2022-01-07 09:44,Sir Sly,&Run,226587
2022-01-07 09:49,Glass Animals,Gooey,289306
2022-01-07 09:53,Big Wild,Touch,212865
2022-01-07 09:56,Joywave,Destruction,184413
2022-01-07 09:59,Goth Babe,Weekend Friend,209454
2022-01-07 10:03,Miike Snow,Genghis Khan,212146
2022-01-07 10:07,Glass Animals,Exxus,256041
2022-01-07 10:11,Portugal. The Man,So Young,246480
2022-01-07 10:15,Sir Sly,High,231896
2022-01-07 10:19,Electric Guest,Oh Devil,217586
2022-01-07 10:20,The Jungle Giants,Sending Me Ur Loving,62652
2022-01-07 10:26,Massive Attack,Angel,379533
2022-01-07 10:31,Massive Attack,Risingson,298826
2022-01-07 10:37,Massive Attack,Teardrop,330773
2022-01-07 10:43,Massive Attack,Inertia Creeps,357133
2022-01-07 10:43,Massive Attack,Exchange,5382
2022-01-07 10:49,Massive Attack,Dissolved Girl,366893
2022-01-07 10:55,Massive Attack,Man Next Door,356266
2022-01-07 11:01,Massive Attack,Black Milk,381666
2022-01-07 11:08,Massive Attack,Mezzanine,356800
2022-01-07 11:08,Massive Attack,Group Four,5967
2022-01-07 11:12,Apparat,Goodbye,238827
2022-01-07 11:13,Hans Zimmer,Mountains,63813
2022-01-07 11:14,Nine Inch Nails,Into The Void,71691
2022-01-07 11:20,Rage Against The Machine,Take The Power Back,336440
2022-01-07 11:36,Frankie Goes To Hollywood,Welcome To The Pleasuredome,272840
2022-01-07 12:59,Alice Merton,No Roots,31897
2022-01-07 12:59,Alice Merton,No Roots,1677
2022-01-07 12:59,UNSECRET,Last Survivor,5603
2022-01-07 12:59,2WEI,Hurt,14606
2022-01-07 13:02,Bishop Briggs,Hallowed Ground,174146
2022-01-07 13:06,Alice Merton,No Roots,237053
2022-01-07 13:10,Archive,Remains Of Nothing - Version / BOKKA Remix,238666
2022-01-07 13:13,Duncan Laurence,Arcade,185146
2022-01-07 13:16,BOKKA,In Love With the Dead Man,191206
2022-01-07 13:20,Afromental,The Bomb,212666
2022-01-07 13:24,Afromental,Return of the Cavemen,231459
2022-01-07 13:27,Twenty One Pilots,Doubt,191493
2022-01-07 13:32,Renata Przemyk,Kochana,238874
2022-01-07 13:35,UNSECRET,Fallout,213770
2022-01-07 13:40,Iron Maiden,The Trooper - 2015 Remaster,252733
2022-01-07 14:59,Red Hot Chili Peppers,Blood Sugar Sex Magik,2625
2022-01-08 12:40,Glass Animals,Youth,2575
2022-01-08 12:40,Glass Animals,Youth,7993
2022-01-08 12:44,Glass Animals,Youth,230693
2022-01-08 12:44,Glass Animals,Pork Soda,2919
2022-01-08 12:44,Glass Animals,Mama's Gun,1159
2022-01-08 12:44,Glass Animals,Season 2 Episode 3,6973
2022-01-08 12:47,Glass Animals,Cane Shuga,196570
2022-01-08 12:48,Glass Animals,[Premade Sandwiches],36254
2022-01-08 13:12,Glass Animals,The Other Side Of Paradise,130232
2022-01-08 15:08,Nothing But Thieves,If I Were You,2683
2022-01-08 15:14,Glass Animals,The Other Side Of Paradise,329167
2022-01-08 15:18,Badflower,Family,247092
2022-01-08 15:22,grandson,Blood // Water,216720
2022-01-08 15:27,Night Club,Survive,272575
2022-01-08 15:31,UNSECRET,Last Survivor,285302
2022-01-08 15:35,UNSECRET,World Gone Wild,189921
2022-01-08 15:38,Afromental,Return of the Cavemen,231459
2022-01-08 15:42,Glass Animals,Take A Slice,229717
2022-01-08 15:58,Glass Animals,Poplar St,208539
2022-01-08 17:34,2WEI,Toxic,41844
2022-01-08 17:37,2WEI,Toxic,195551
2022-01-08 17:41,ZAND,Luci,85947
2022-01-09 01:12,ZAND,Luci,116826
2022-01-09 14:53,ZAND,Luci,32036
2022-01-09 16:29,ZAND,Luci,39333
2022-01-09 16:33,Sobel,"Cześć, jak się masz?",201007
