Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
4703,Jak wymienić baterie w MacBook A1502 Pro Air Gdzie Serwis Apple Wrocław ZbitaSzybka.pl,https://www.youtube.com/watch?v=TjmKlzs1f_8,ZbitaSzybka,https://www.youtube.com/channel/UC7DM9X8muwfbtqQLGvkcHTQ,2022-01-13T12:08:17.967Z,TjmKlzs1f_8,0 days 00:00:59,84177,5109,0,54,140000
4704,Krzywy samochód - jedzie bokiem #741 Wasze Filmy,https://www.youtube.com/watch?v=bYsPUSFBAck,STOP CHAM,https://www.youtube.com/channel/UCJ0VFYHC4J6KhC_ohzrJ0eA,2022-01-13T12:07:27.218Z,bYsPUSFBAck,0 days 00:01:04,254097,3420,0,995,506000
4705,What's in Ralph Lauren's garage? #shorts,https://www.youtube.com/watch?v=MB9DIh6EjqU,Launch Mode,https://www.youtube.com/channel/UCOIvL_XfICjnVnqiQKtVOiw,2022-01-13T09:35:58.799Z,MB9DIh6EjqU,0 days 00:01:00,410352,36161,0,290,165000
4706,The difference between my laptop and my boyfriends,https://www.youtube.com/watch?v=K2oVGXI2PQs,Aileen and Deven,https://www.youtube.com/channel/UCk2sqTNp1R7DT14Y4zhDxuw,2022-01-13T09:35:22.878Z,K2oVGXI2PQs,0 days 00:00:47,5117423,405008,0,3389,987000
4707,The ending is a violation 😂,https://www.youtube.com/watch?v=dhVGWfJn7iA,Editsbyrealist,https://www.youtube.com/channel/UCbKuQozM9aUVrE9T7E7jzxQ,2022-01-13T09:32:49.704Z,dhVGWfJn7iA,0 days 00:00:58,25458094,1797667,0,11568,498000
4708,iPhone 14 Wreszcie Bez Notcha! Wygląda Ciekawie😮,https://www.youtube.com/watch?v=GvSkfRQ_VX0,Mateusz Krawczyk,https://www.youtube.com/channel/UCvb_3WrGri7dqKP2j-EvcDA,2022-01-13T09:28:13.761Z,GvSkfRQ_VX0,0 days 00:00:58,120198,5446,0,200,391000
4709,It’s RAW! - Kitchen Nightmares,https://www.youtube.com/watch?v=N0v3BhJiNNQ,Kitchen Nightmares,https://www.youtube.com/channel/UCUZzyuAlhHNP3oiuMjn7RfQ,2022-01-13T00:10:26.764Z,N0v3BhJiNNQ,0 days 00:03:44,45420204,456156,0,24816,6430000
4710,Co mam na moim MacBooku Air M1,https://www.youtube.com/watch?v=IN9sbmYwd8A,PuszkaTech,https://www.youtube.com/channel/UCJdzLgomDYH6_tZpxRKUMQw,2022-01-13T00:07:30.651Z,IN9sbmYwd8A,0 days 00:19:40,23382,675,0,262,6150
4711,When The Office Runs The Warehouse - The Office US,https://www.youtube.com/watch?v=MxAFiw0t2MA,The Office,https://www.youtube.com/channel/UCa90xqK2odw1KV5wHU9WRhg,2022-01-13T00:04:55.766Z,MxAFiw0t2MA,0 days 00:04:04,2025817,39337,0,872,2990000
4712,Samsung's Rollable Phone - Hands On Video,https://www.youtube.com/watch?v=ghxNiCKyF44,TechTalkTV,https://www.youtube.com/channel/UCst-PM5gRep0iCpCbGMf9LA,2022-01-13T00:01:48.243Z,ghxNiCKyF44,0 days 00:03:22,1403926,24038,0,1157,768000
4713,My Useless Skill: Guessing RGB Values,https://www.youtube.com/watch?v=W4Rebo3aEkY,Tom Lum,https://www.youtube.com/channel/UCim0JOU5CqZG3jKhU2c_yeg,2022-01-12T23:25:30.796Z,W4Rebo3aEkY,0 days 00:01:00,25597276,2161348,0,12910,313000
4714,i gave him one last chance,https://www.youtube.com/watch?v=vGCCtFIzjwo,Davie504,https://www.youtube.com/channel/UCgFvT6pUq9HLOvKBYERzXSQ,2022-01-12T23:25:25.364Z,vGCCtFIzjwo,0 days 00:00:33,38659823,2415038,0,12721,12600000
4715,The hardest choice Elon Musk has ever faced,https://www.youtube.com/watch?v=owaF4MDga-w,Take impulse,https://www.youtube.com/channel/UC77utDMe2X6dHqOBEwoUJlw,2022-01-12T23:24:45.525Z,owaF4MDga-w,0 days 00:00:39,12999866,817089,0,7498,341000
4716,Snoop Dogg On The Night That Tupac Passed,https://www.youtube.com/watch?v=Ibla3dtAGis,Official__quotes,https://www.youtube.com/channel/UCacgeB3GHyAF5kFs5aJ9onw,2022-01-12T23:23:52.405Z,Ibla3dtAGis,0 days 00:00:30,10616195,764873,0,2065,778000
