Unnamed: 0,title,titleUrl,channel,channelUrl,time,id,duration,views,likes,favorites,comments,channelSubscribers
3566,Porsche Cayenne Turbo S E-Hybrid Coupe - oszczędna hybryda za milion (PL) - test i jazda próbna,https://www.youtube.com/watch?v=2PWsO2sQBYk,Marek Drives,https://www.youtube.com/channel/UCBs5Xvl22UcHqOfvrO2ci8g,2022-02-10T15:32:09.278Z,2PWsO2sQBYk,0 days 00:17:54,112611,2022,0,167,244000
3567,How The Richest CEO's Travel,https://www.youtube.com/watch?v=0H3IkeqF_ts,King Luxury,https://www.youtube.com/channel/UCKQcazUy4R2p4nBWsxwQJyg,2022-02-10T15:30:46.266Z,0H3IkeqF_ts,0 days 00:09:08,2534560,29623,0,2760,336000
3568,"iPad PRO 12.9"" Unboxing + Apple Pencil 2 & Accessories + Procreate first impression 👽",https://www.youtube.com/watch?v=37IEQxBE3cc,Karniale,https://www.youtube.com/channel/UC-eiQlqMEpcZmk3yeJDRY3Q,2022-02-10T15:29:15.509Z,37IEQxBE3cc,0 days 00:34:02,6895051,101431,0,4451,38900
3569,Tammy Gained 50lbs in 30 Days! | 1000-lb Sisters,https://www.youtube.com/watch?v=-FSgQSNWd_g,TLC,https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw,2022-02-10T15:25:32.187Z,-FSgQSNWd_g,0 days 00:03:20,5942117,74928,0,11607,7300000
3570,Desmos Music,https://www.youtube.com/watch?v=WCciqpon9jE,Eric Tao,https://www.youtube.com/channel/UCfphydDz_mF1ICH0N18QwrA,2022-02-10T15:04:31.955Z,WCciqpon9jE,0 days 00:00:23,109530,3395,0,205,1180
3571,Terence Tao Teaches Mathematical Thinking | Official Trailer | MasterClass,https://www.youtube.com/watch?v=axzFfSvQdYQ,MasterClass,https://www.youtube.com/channel/UCFk7dqVnBayNPbrMtIwtaSw,2022-02-10T15:03:20.412Z,axzFfSvQdYQ,0 days 00:02:10,11104132,27130,0,561,1030000
3572,Pianist Learns Songs by Ear on OMEGLE,https://www.youtube.com/watch?v=jcVWKk0MiEI,FrankTedesco,https://www.youtube.com/channel/UCvCVf_k9yMLknYHb4mzhqpw,2022-02-10T14:54:10.584Z,jcVWKk0MiEI,0 days 00:17:36,2006694,64819,0,2426,481000
3573,Why is Apple Trying To Make Me Look bad?,https://www.youtube.com/watch?v=WQuN9QXlrOQ,Phone Repair Guru,https://www.youtube.com/channel/UCCOrp7GPgZA8EGrbOcIAsyQ,2022-02-10T14:25:14.540Z,WQuN9QXlrOQ,0 days 00:04:00,995531,32986,0,1620,3520000
3574,DENIS OGŁUSZA ALANA | NOGA JAK MŁOTEK,https://www.youtube.com/watch?v=f5VVdE-WFDI,Pan Mateusz,https://www.youtube.com/channel/UCrV-MDfJLJd7Fcw7jRxtzmQ,2022-02-10T14:24:14.139Z,f5VVdE-WFDI,0 days 00:00:08,703948,8226,0,590,4160
3575,Samsung Galaxy Unpacked February 2022: Official Replay,https://www.youtube.com/watch?v=KpTBm_fg-Wk,Samsung,https://www.youtube.com/channel/UCWwgaK7x0_FR1goeSRazfsQ,2022-02-10T14:13:20.073Z,,,,,,,
3576,iPhone który ma w sobie ogień ;) #shorts,https://www.youtube.com/watch?v=BomfTXVHjfU,Rafal Bielawski,https://www.youtube.com/channel/UCMsi03EhTUsUs2OtPus6XDQ,2022-02-10T14:05:00.977Z,BomfTXVHjfU,0 days 00:00:16,27437,555,0,32,52500
3577,every day Michael Scott wakes up and chooses violence | The Office U.S. | Comedy Bites,https://www.youtube.com/watch?v=Zk_4--LnkHk,Comedy Bites,https://www.youtube.com/channel/UCGfUuxBzB8E30XjCjOvji2w,2022-02-10T13:34:49.870Z,Zk_4--LnkHk,0 days 00:09:44,3343365,61155,0,1085,398000
3578,Galaxy S22 Impressions: 1 Real Downgrade!,https://www.youtube.com/watch?v=vax8FCuQUsE,Marques Brownlee,https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ,2022-02-10T13:13:42.633Z,vax8FCuQUsE,0 days 00:06:17,2593592,98699,0,5157,16500000
3579,"Kolizja, potrącenie i ucieczka z miejsca zdarzenia #751 Wasze Filmy",https://www.youtube.com/watch?v=q-7ptnT1_sQ,STOP CHAM,https://www.youtube.com/channel/UCJ0VFYHC4J6KhC_ohzrJ0eA,2022-02-10T13:12:06.305Z,q-7ptnT1_sQ,0 days 00:00:51,326053,3513,0,1449,503000
3580,3-8 - Replacement theorem,https://www.youtube.com/watch?v=OQt2sDEx6jQ,Nelly Litvak,https://www.youtube.com/channel/UC7OaJXukBpnIu4QYL02kJ5w,2022-02-10T12:55:59.265Z,OQt2sDEx6jQ,0 days 00:05:13,868,13,0,2,302
3581,Samsung Galaxy S22 Ultra VS iPhone 13 Pro Max | Battery Life Drain Test & Camera Review,https://www.youtube.com/watch?v=XJqt0q-3VFU,KT Reviews,https://www.youtube.com/channel/UCitfrLMIZvFLu1Wg8XqSOGQ,2022-02-10T12:50:52.175Z,XJqt0q-3VFU,0 days 00:03:16,15793,101,0,26,2670
